source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Jason Gay,Give Me a Break! The Case for an Intermission,A movie distributor admonishes theaters for inserting an unsanctioned stop in a film. What’s wrong with a respectful pause?,https://www.wsj.com/lifestyle/give-me-a-break-the-case-for-an-intermission-cee08e88,https://images.wsj.net/im-879478/social,2023-11-03T15:33:00Z,"Recently, distributors behind the new Martin Scorsese epic Killers of the Flower Moon issued a warning to a small group of cinemas that had reportedly been inserting unauthorized intermissions inside… [+651 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Cara Lombardo,Icahn Enterprises Stock Jumps on Dividend News,"Live coverage of stocks and financial news, including the S&P 500, Dow and Nasdaq Composite.",https://www.wsj.com/livecoverage/stock-market-today-dow-jones-11-03-2023,https://images.wsj.net/im-880910?width=600,2023-11-03T13:46:00Z,"Icahn Enterprises shares jumped more than 10% Friday morning after the company said it would maintain its quarterly dividend.
Shares in the company, which houses billionaire Carl Icahns investments,… [+337 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Joseph Hoppe,"Meta Pledges to Allow Marketplace Customers to Opt Out of Data Sharing, U.K. Regulator Says","Meta Pledges to Allow Marketplace Customers to Opt Out of Data Sharing, U.K. Regulator Sayswsj.com",https://www.wsj.com/tech/meta-pledges-to-allow-marketplace-customers-to-opt-out-of-data-sharing-uk-regulator-says-6a5bdb98,https://images.wsj.net/im-874274/social,2023-11-03T13:32:39Z,"The U.K. competition regulator said Meta Platforms has pledged to allow its Facebook Marketplace customers to opt out of having their data used by the company, and for it to limit how it uses adverti… [+397 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,The Astrophysicist Who Has Better Way to Board Planes...,One of America’s largest airlines is changing its boarding process to make it faster. It could be even faster.,https://www.wsj.com/business/airlines/united-airlines-boarding-planes-window-seats-wilma-fd7d9394,https://images.wsj.net/im-880240/social,2023-11-03T13:00:03Z,"The Astrophysicist Who Has a Better Way to Board AirplanesBy Nov. 3, 2023 5:30 am ETJason Steffen has spent his career trying to crack the deepest mysteries of the universe. He’s an astrophysicist wh… [+851 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,Russian Suicide Drone Blunting Counteroffensive...,"Russia is catching up to Ukraine on battlefield drone use with the Lancet, as the U.S. sanctions its manufacturer",https://www.wsj.com/world/this-russian-suicide-drone-is-blunting-ukraines-advance-8241a0e4,https://images.wsj.net/im-878574/social,2023-11-03T13:00:03Z,"This Russian Suicide Drone Is Blunting Ukraine’s Advance
KYIV, Ukraine—One of the scourges of Ukraine’s counteroffensive is an exploding drone with distinctive X-shaped wings that smashes into targe… [+996 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,Israel Faces Growing Pressure to Pause Strikes...,Growing number of countries are pushing for pause in Israeli attacks to allow more relief for civilians,https://www.wsj.com/world/middle-east/israel-faces-growing-international-pressure-to-pause-gaza-strikes-5f422195,https://images.wsj.net/im-880809/social,2023-11-03T13:00:03Z,Blinken Meets With Israeli Leaders as Pressure Grows for Gaza Cease-FireTEL AVIV—U.S. Secretary of State Antony Blinken on Friday urged Israel’s government to protect civilians who are caught in the … [+1220 chars]
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Rachel Bachman,The NYC Marathon Is Harder to Get Into Than Ivy League Schools,Residual demand from the pandemic and the uniqueness of the event mean just 5% of those in the registration lottery got into Sunday’s race,https://www.wsj.com/sports/new-york-city-marathon-lottery-runners-a678684e,https://images.wsj.net/im-878767/social,2023-11-03T11:00:00Z,"From dawn to dusk one day last winter, Liliana Pech-Adrian kept checking her bank account hoping that a $295 charge would appear. Thats the registration fee for the New York City Marathon, which woul… [+478 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Ben Otto,"Nio to Cut Jobs, Investment in Face of Rising Competition",Shanghai-based Nio will cut about 10% of positions,https://www.wsj.com/business/nio-to-cut-jobs-investment-in-face-of-rising-competition-592c07c5,https://images.wsj.net/im-880802/social,2023-11-03T10:46:00Z,"Chinese electric-vehicle maker Nio will reduce positions this month and cut or defer some investment, moves aimed at boosting the upstart companys viability as it contends with widening losses and ri… [+299 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",The Editorial Board,Sen. Tuberville’s Misguided Stand,"He’s right about Biden policy, but he has the wrong political targets.",https://www.wsj.com/articles/tommy-tuberville-military-promotions-pentagon-abortion-travel-policy-9a8b71b7,https://images.wsj.net/im-880655/social,2023-11-03T02:26:25Z,"Americans are watching a bizarre split screen. Two wars are raging abroad. Meanwhile, much of Washington is mired in partisan spectacles, such as a fight over abortion policy in the U.S. military. Th… [+565 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Kimberley A. Strassel,Moving the Goal Posts on the Hunter Biden Investigation,The president’s defense keeps changing as new evidence emerges.,https://www.wsj.com/articles/moving-the-hunter-goal-posts-white-house-biden-family-election-939b71f9,https://images.wsj.net/im-880538/social,2023-11-03T00:16:50Z,"Kimberley Strassel is a member of the editorial board for The Wall Street Journal. She writes editorials, as well as the weekly Potomac Watch political column, from her base in Alaska.
Ms. Strassel … [+845 chars]"
